"iso3c","gdp","pop","waste","sharepopurban","wastepercap"
"ABW",35563.3125,103187,88132.0167,43.697,854.1
"AFG",2057.062256,34656032,5628525.37,26.026,162.411131487875
"AGO",8036.69043,25096150,4213643.585,66.825,167.9
"ALB",13724.05859,2854191,1087446.75,62.112,380.999992642398
"AND",43711.80078,82431,43000,87.916,521.648408972353
"ARE",67119.13281,9770529,5617682,87.048,574.961908408439
"ARG",23550.09961,42981516,17910550,92.111,416.703542983454
"ARM",11019.83887,2906220,492800,63.313,169.56734177041
"ASM",11113.44238,55599,18989.49,87.153,341.54373280095
"ATG",17965.50195,96777,30585,24.433,316.035834960786
"AUS",47784.17969,23789338,13345000,86.241,560.965588870106
"AUT",56029.61328,8877067,5219715.5,58.748,588.000011715581
"AZE",14853.91016,9649341,2930349,56.397,303.683847425436
"BDI",839.7785034,6741569,1872016,13.708,277.682539480053
"BEL",51914.91406,11484055,4765883,98.079,415.00001523852
"BEN",2227.352295,5521763,685936.01,48.415,124.224094732063
"BFA",1925.331177,18110624,2575251.11,30.607,142.195603530834
"BGD",3195.737061,155727056,14778497.33,38.177,94.8999981737278
"BGR",22279.36133,7025037,2859190,75.686,406.999991601468
"BHR",47937.77734,1425171,951942.9695,89.506,667.950000035084
"BHS",35400.08203,386838,264000,83.245,682.456221984397
"BIH",12671.00781,3535961,1248718,49.02,353.148125785324
"BLR",18307.51953,9489616,4280000,79.483,451.019303626195
"BLZ",7259.024414,359288,101378.8303,46.025,282.165923437465
"BMU",80982.36719,64798,82000,100,1265.47115651718
"BOL",7984.413574,10724705,2219052,70.123,206.910306623819
"BRA",14596.24609,208494896,79069584,87.073,379.239902352334
"BRB",15444.74609,280601,174815.4444,31.191,623.003640044048
"BRN",60865.98828,423196,216253.156,78.25,511
"BTN",6743.016113,686958,111314.05,42.316,162.039091181703
"BWA",14126.38965,2014866,210854.4426,70.877,104.649362587884
"CAF",822.6104736,4515392,1105983,42.198,244.936209303644
"CAN",47672.07813,35544564,25103034,81.562,706.241156875634
"CHE",68394.28906,8574832,6079556,73.915,709.00001306148
"CHI",46672.59375,164541,178933,30.963,1087.46756127652
"CHL",20361.71484,16829442,6517000,87.727,387.238032015559
"CHN",16092.30078,1400050048,395081376,61.428,282.190894935779
"CIV",3660.902832,20401332,4440814.27,51.706,217.672761268725
"CMR",3262.763672,21655716,3270616.59,57.56,151.027866730428
"COD",1055.572998,78736152,14385226.02,45.638,182.701664414588
"COG",4899.57959,2648507,451200,67.829,170.360131198445
"COL",12523.00684,46406648,12150120,81.425,261.818522208284
"COM",2959.540039,777424,91013,29.38,117.069964395233
"CPV",6353.783203,513979,132555,66.652,257.89964181416
"CRI",18168.71484,4757575,1460000,80.771,306.879029757807
"CUB",12984.71094,11303687,2692691.98,77.194,238.213600571212
"CUW",27503.78906,153822,24703.8132,89.062,160.6
"CYM",66207.44531,59172,60000,100,1013.99310484689
"CYP",39544.68359,1198575,769485.125,66.821,641.999979141898
"DEU",53784.78125,83132800,50627876,77.453,609.000009623157
"DJI",6596.775391,746221,114997.249,78.062,154.106154879051
"DMA",11708.63965,72400,13176,71.09,181.988950276243
"DNK",57821.19922,5818553,4910858.5,88.116,843.999960127544
"DOM",15328.35254,10528394,4063910,82.54,385.995242959183
"DZA",11826.16504,40606052,12378740,73.733,304.849631774101
"ECU",11896.37695,16144368,5297211.143,64.166,328.11511376599
"EGY",10301.10742,87813256,2.1e+07,42.783,239.143848623493
"ERI",1714.552368,4474690,726957.37,41.347,162.459828502086
"ESP",40985.55859,47076780,22408548,80.81,476.000015294164
"EST",36956.28516,1326590,489511.7188,69.229,369.000006633549
"ETH",1779.083984,99873032,6532786.97,21.695,65.4109206377153
"FIN",48814.30859,5520314,3124497.75,85.517,566.000004709877
"FJI",10787.68555,867086,189389.594,57.247,218.420772564659
"FRA",46110.18359,67059888,36748820,80.975,548.000020518973
"FRO",44402.87891,48842,61000,42.398,1248.92510544204
"FSM",3440.064209,104937,26039.57,22.933,248.144791636887
"GAB",18514.65234,1086137,238102.31,90.092,219.219407864754
"GBR",46290.12109,66460344,30771140,83.903,463.000010953901
"GEO",12605.13965,3717100,8e+05,59.453,215.221543676522
"GHA",3092.596924,21542008,3538274.978,57.349,164.250007613032
"GIB",43711.80078,33623,16954,100,504.238170300092
"GIN",1622.776855,8132552,596911,36.875,73.3977477180595
"GMB",2180.855713,1311349,193440.54,62.582,147.512630123636
"GNB",1800.068604,1770526,289514,44.196,163.518637964085
"GNQ",24827.07227,1221490,198443.06,73.1,162.459831844714
"GRC",30465.44922,10716322,5615352.5,79.715,523.999978724044
"GRD",13207.71191,105481,29536.11394,36.537,280.013594296603
"GRL",43948.5625,56905,50000,87.282,878.657411475266
"GTM",8125.364746,16252429,2756740.971,51.836,169.620243903234
"GUM",59074.94141,159973,141500,94.938,884.52426346946
"GUY",9812.089844,746556,179251.5,26.786,240.104560140164
"HKG",57215.96875,7305700,5679816.465,100,777.45
"HND",5395.61377,9112867,2162027.696,58.359,237.250000027434
"HRV",28829.35547,4067500,1810037.5,57.553,445
"HTI",2952.618652,10847334,2309852.455,57.088,212.9419500681
"HUN",32643.49023,9769949,3780970.25,71.942,386.999998669389
"IDN",10531.19824,261115456,65200000,56.641,249.697972685309
"IMN",44203.62109,80759,50551,52.898,625.948810658874
"IND",6496.807617,1352617344,189750000,34.926,140.283577496401
"IRL",83388.71875,4867316,2910655,63.653,598.000006574465
"IRN",14535.8623,80277424,17885000,75.874,222.789909153039
"IRQ",10310.67969,36115648,13140000,70.893,363.831212442872
"ISL",55274.1875,343400,225270.4063,93.898,656.000018345952
"ISR",37687.74609,8380100,5400000,92.587,644.383718571377
"ITA",42419.72266,60297396,30088400,71.039,498.999989982984
"JAM",9550.810547,2881355,1051694.575,56.311,365
"JOR",10413.17578,8413464,2529997,91.418,300.708126878537
"JPN",41309.95703,126529104,42720000,91.782,337.629830999198
"KAZ",22702.58008,16791424,4659740,57.671,277.50713697659
"KEN",3329.854492,41350152,5595099,27.995,135.310240213869
"KGZ",4805.141113,5956900,1113300,36.856,186.892511205493
"KHM",3364.278809,15270790,1089000,24.232,71.312617094466
"KIR",2249.768555,114395,35723.8275,55.594,312.284868219765
"KNA",25569.35742,54288,32892.14,30.843,605.882331270262
"KOR",42105.28125,51606632,20452776,81.414,396.320689945432
"KWT",58810.30078,2998083,1750000,100,583.706321672882
"LAO",6543.666992,6663967,351900,36.29,52.8063839451786
"LBN",16966.74023,5603279,2040000,88.925,364.07253681282
"LBR",1333.422241,3512932,564466.7,52.089,160.68250111303
"LBY",8479.946289,6193501,2147596.472,80.691,346.750000040365
"LCA",14029.98242,177206,77616.228,18.841,438
"LIE",45726.98828,36545,32382,14.416,886.085647831441
"LKA",12287.47266,21203000,2631650,18.713,124.116870254209
"LSO",1978.608398,1965662,73457,29.028,37.3701073734955
"LTU",37278.30469,2786844,1315390.375,68.046,472.000002511802
"LUX",114323.4063,619896,490337.75,91.453,791.000022584433
"LVA",30982.17383,1912789,839714.375,68.315,439.000002091187
"MAC",117335.5859,612167,377942,100,617.383818467836
"MAR",6915.103027,34318080,6852000,63.532,199.661519525568
"MCO",43711.80078,37783,46000,100,1217.47876028902
"MDA",10360.83008,3554108,3981200,42.849,1120.16854862036
"MDG",1565.866943,24894552,3768759.16,38.534,151.388912722752
"MDV",17284.60938,409163,211505.78,40.669,516.923035562844
"MEX",19332.07422,125890952,53100000,80.731,421.7936170663
"MHL",3628.895264,52793,8614,77.794,163.165571193151
"MKD",16147.72949,2082958,626970.375,58.482,301.00000816147
"MLI",2007.80603,16006670,1937354.44,43.909,121.034196369389
"MLT",43707.53906,502653,348841.1875,94.744,694.000010941942
"MMR",1093.788086,46095464,4677306.529,31.141,101.46999559436
"MNE",20752.62109,622227,329780.3125,67.488,530.000004017826
"MNG",10940.41504,3027398,2900000,68.657,957.91831797471
"MNP",60955.72656,54036,32761.4145,91.798,606.288668665334
"MOZ",1217.09021,27212382,2500000,37.074,91.8699436161083
"MRT",4783.635742,3506288,454000,55.327,129.481662658629
"MUS",20646.93359,1263473,438000,40.76,346.6635218956
"MWI",999.4413452,16577147,1297844.48,17.427,78.2911848462223
"MYS",23906.26563,30228016,12982685,77.16,429.491799924944
"NAM",6152.987305,1559983,256729,52.033,164.571665204044
"NCL",57330.20313,278000,108157.384,71.518,389.055338129496
"NER",1038.224121,8842415,1865645.67,16.626,210.988250381824
"NGA",4690.379395,154402176,27614830.07,51.958,178.850005779711
"NIC",4611.840332,5737723,1528816.293,59.012,266.449999939
"NLD",56849.375,17332850,8805088,92.236,508.000011538783
"NOR",64962.26172,5347896,4149967.25,82.974,775.999991398486
"NPL",2902.249268,28982772,1768977.49,20.576,61.0354830793963
"NRU",11167.31934,13049,6191.7505,100,474.5
"NZL",41857.47656,4692700,3405000,86.699,725.595073198798
"OMN",30535.83398,3960925,1734885.15,86.276,438
"PAK",4571.414551,193203472,30760000,37.165,159.210389345384
"PAN",28436.35938,3969249,1472262.215,68.414,370.917071466164
"PER",11877.08398,30973354,8356711.13,78.297,269.803235710282
"PHL",7705.04541,103320224,14631922.9,47.408,141.617220071068
"PLW",18275.02539,21503,9426.7455,80.988,438.392108077943
"PNG",3912.381104,7755785,1e+06,13.345,128.936013569226
"POL",33221.54297,37970872,12758213,60.043,336.000000210688
"PRI",34311.03125,3473181,4170953,93.581,1200.90286109477
"PRT",34961.94531,10269417,5268211,66.31,513.000007692744
"PRY",11810.42773,6639119,1818501.365,62.183,273.907029682703
"PSE",5985.683105,4046901,1387000,76.719,342.731388783664
"PYF",60955.72656,273528,147000,61.975,537.422128630341
"QAT",96261.66406,2109568,1000990.016,99.235,474.5
"ROU",29983.55664,19356544,5419832.5,54.194,280.000009299181
"RUS",26012.84961,143201680,6e+07,74.754,418.989497888572
"RWA",1950.528076,11917508,4384969,17.432,367.943449251303
"SAU",48921.23047,31557144,16125700.58,84.287,510.999999873246
"SDN",4191.823242,38647804,2831291,35.253,73.2587807576337
"SEN",3067.662598,15411614,2454059.25,48.122,159.234409192963
"SGP",97341.46875,5703600,1870000,100,327.863104004488
"SLB",2596.452881,563513,179971.9644,24.67,319.375000044365
"SLE",1237.630249,5439695,610222.09,42.923,112.179467782661
"SLV",7328.713379,6164626,1648996.18,73.444,267.493304541103
"SMR",58806.19922,33203,17174.68,97.499,517.26289793091
"SOM",1862.614136,14317996,2326099.17,46.141,162.459828177072
"SRB",18351.27344,6944975,2347401.5,56.446,337.99999280055
"SSD",1795.991943,11177490,2680681,20.199,239.828530376677
"STP",3720.786865,191266,25586.5,74.354,133.774429328788
"SUR",16953.80273,526103,78619.79915,66.149,149.438036183029
"SVK",31965.76172,5454073,2296164.75,53.76,421.000003116937
"SVN",39037.93359,2087946,1052324.75,55.118,503.999983716054
"SWE",52608.71094,10285453,4618168.5,87.977,449.000010014143
"SWZ",8321.106445,1343098,218199.47,24.171,162.459827950008
"SYC",23302.95313,88303,48000,57.546,543.582890728514
"SYR",8587.050781,20824892,4500000,55.475,216.087555219974
"TCD",1732.691284,11887202,1358850.53,23.52,114.312058464221
"TGO",1404.132935,7228915,1109030.45,42.8,153.41589297979
"THA",16301.53809,68657600,26853366,51.43,391.120079932884
"TJK",2616.475586,8177809,1787400,27.506,218.567100307674
"TKM",11471.18652,5366277,5e+05,52.516,93.1744671398811
"TLS",3344.57373,1268671,63875,31.32,50.3479625529393
"TON",5636.418457,104951,17238.20175,23.099,164.25
"TTO",28910.9082,1328100,727874,53.214,548.056622242301
"TUN",10505.2627,11143908,2700000,69.568,242.284842983269
"TUR",28289.08789,83429616,35374156,76.105,423.999985808397
"TUV",3793.127686,11097,3989.4865,64.014,359.510363161215
"TZA",2128.553955,49082996,9276995,35.227,189.006290488054
"UGA",1972.301758,35093648,7045049.836,24.954,200.75
"UKR",11534.6377,45004644,15242025,69.608,338.676715229655
"URY",20588.39258,3431552,1260139.509,95.515,367.221452275822
"USA",61498.37109,326687488,265224528,82.664,811.860073441196
"UZB",5164.274414,29774500,4e+06,50.416,134.343145980621
"VCT",11971.99316,109455,31561.34925,53.032,288.35
"VEN",14269.67383,29893080,9779093.14,88.279,327.135682907215
"VGB",24215.88281,20645,21099.19,48.515,1022
"VIR",30436.56445,105784,146500,95.939,1384.89752703622
"VNM",5089.411133,86932496,9570300,37.34,110.088867113628
"VUT",3061.787354,270402,70225.489,25.525,259.707727753493
"WSM",6210.983398,187665,27399.09,17.889,146
"YEM",8269.671875,27584212,4836820,37.908,175.34740524761
"ZAF",12666.60742,51729344,18457232,67.354,356.803906115647
"ZMB",3201.289307,14264756,2608268,44.629,182.847011193181
"ZWE",3190.506592,12500525,1449752,32.242,115.97528903786
